CLV,Nombre,Dirección,Capacidad de personas,Capacidad de familias,Municipio,Responsable del H. Ayuntamiento,Ubicación
REF-ACA-15,Esc. Prim. MarÃ­a Orozco De MarrÃ³n,"Calle Hilario Malpica S/N, Col. Costa Azul",200,50,Acapulco,"María de Jesús Hernández
Tel. 7445888064",https://maps.app.goo.gl/w8jR5T2LDWg118UN6
REF-ACA-21,Esc. Sec. Fed. Amado Nervo,Av. Solidaridad Fracc. Hornos Insurgentes,200,50,Acapulco,"Mariana Ramírez Urbieta
Tel. 7442950436",https://maps.app.goo.gl/SYbTKFXUdFRiDHJdA
REF-ACA-05,Colegio De Bachilleres No.16,"Calle 14 Esq. Calle 30 S/N, Col. Postal",280,70,Acapulco,"Marisol Ortiz Ortiz
Tel. 7445315978

Jonathan de los Santos Mascada
Tel. 7444276947",https://maps.app.goo.gl/4jSNhYHeBUae3kv66
REF-ACA-01,Bachilleres No.2,"Av. Del Mar, CaÃ±ada De Los Amates, S/N, Col. JardÃ­n De Los Amate",150,37,Acapulco,"Maritza Iturio Arellano
Tel. 7442925825

Jose subdirector
Tel. 7811043305",https://maps.app.goo.gl/sfL4RUUPCzRDJHH26
REF-ACA-33,JardÃ­n De NiÃ±os Vasco De Quiroga,"Calle Allende Esq. Cerrada De Allende S/N, Colonia MÃ¡rtires De Cuilapa",80,20,Acapulco,"Mayra Brito Adame
Tel. 7444090070

Gabriela 
Tel.7442851644",https://maps.app.goo.gl/w5HgGvKNKjZrwb9R9
REF-ACA-27,Esc. Sec. Tec. No.152,Av. Ruiz Cortines Col. Alta Progreso,200,50,Acapulco,"Melisa Ventura Arcos 
Tel. 7443186395

Susana Bailón Ríos
Tel. 7444587404",https://maps.app.goo.gl/s3ZHH9KXagZCR59x9
REF-ACA-07,Esc. Prim Fed. Francisco Figueroa Mata,Av. Las Torres Circuito Nororiente No.30 Colonia El Coloso,160,40,Acapulco,"Osbelia Álvarez solano 
Tel. 7444455267",https://maps.app.goo.gl/tZHBZiWBuhr5vmfB6
REF-ACA-25,Esc. Sec. No.2 JesÃºs Mastache RomÃ¡n,Calle Francisco I. Madero Esq. Reforma Col. Morelos,400,100,Acapulco,"Osiris Guadalupe Villanueva
Tel. 6241394868

Jorge Alejandro Román
Tel. 7441362403 ",https://maps.app.goo.gl/SrjZ3ZhTSqrkd1b18
REF-ACA-17,Esc. Prim. Urbana ArtÃ­culo 123,ProlongaciÃ³n Av. Las Torres S/N Colonia El Coloso,150,37,Acapulco,"Patricia Juárez Moreno
Tel. 7445048771

Lilia Sotelo Medina
Tel. 7442200352",https://maps.app.goo.gl/Fk2cbaxbKNB7BGpu8
REF-COY-11,JardÃ­n de NiÃ±os Luz MarÃ­a Serradel,"Av. Fuerza AÃ©rea, Luces Del Mar",100,25,Coyuca de BÃ©nitez,"Silvia Castillo M.
Tel. 7442128132

Luis Rey Arizmendi Hernández
Tel. 7443122033",https://maps.app.goo.gl/J5Mn7chsmKmC36gM9
REF-ACA-37,Templo Rosa de SarÃ³n,Av. Principal De La Mica,60,15,Acapulco,"Silvia Sánchez Domínguez
Tel. 7444280871

Rita Ramírez Mendoza
Tel. 7441760258",https://maps.app.goo.gl/t4NZDoV7z34zD8TK8
REF-ACA-20,Esc. Sec. Fed. Acapulco No. 4,"Calle 5, Esq. Emiliano Zapata s/n Col. Bella Vista",550,137,Acapulco,"Yesenia Sotelo Urióstegui
Tel. 7441030841

Rosa Martha Reyes Gallegos
7444079061",https://maps.app.goo.gl/SdxnhpBgwbDSaewk6
REF-ACA-06,DIF Margarita Maza De JuÃ¡rez," Calle Victoria, Col. La Laja",500,125,Acapulco,"Zenaida Romero Analco
Tel. 7444548364

Diego Alberto Muños Agama
Tel. 7443462318",https://maps.app.goo.gl/k9M6HNu2D9gpcXaN9
REF-ACA-24,Esc. Sec. Juan N. Ãlvarez,"Calle Lerdo De Tejada S/N, Colonia Plan De Los Amates",60,15,Acapulco,"Zurisadai Chona Colon 
Tel. 7442555570

Carmen Yarira Colon
Tel. 7442289195",https://maps.app.goo.gl/iYSfCYzZ2VoGyko87
REF-COY-01,Capilla Del Cristo Resucitado,Calle Colima Col. Venustiano Carranza,400,100,Coyuca de BÃ©nitez,Sin Dato,https://maps.app.goo.gl/27DPMoxxy4aWcujG9
REF-COY-02,CETIS No.117,"Av. ProlongaciÃ³n CuauhtÃ©moc No. 234, Colonia Centro",750,187,Coyuca de BÃ©nitez,Sin Dato,https://maps.app.goo.gl/jwe7muZC6KYqrE9G7
REF-COY-03,ComisarÃ­a Municipal / Biblioteca de la localidad,"Av. Fuerza AÃ©rea, La Barra",150,37,Coyuca de BÃ©nitez,Sin Dato,https://maps.app.goo.gl/Jw8De1j2YXND5J9u6
REF-COY-04,ComisarÃ­a Municipal,Loc. Bajos Del Ejido,100,25,Coyuca de BÃ©nitez,Sin Dato,https://maps.app.goo.gl/y8FdUdFUJJCgUnJu6
REF-COY-05,Esc. Prim. Juan N. Ãlvarez,Av. Libramiento S/N,800,200,Coyuca de BÃ©nitez,Sin Dato,https://maps.app.goo.gl/jpsR4VL8HvAqgDgx6
REF-COY-06,Esc. Prim. Vicente Guerrero,Loc. Las Compuertas,500,125,Coyuca de BÃ©nitez,Sin Dato,https://maps.app.goo.gl/ALi7gtkTrm1S9bp18
REF-COY-07,Esc. Prim. Benito JuÃ¡rez,Col. Venustiano Carranza,150,37,Coyuca de BÃ©nitez,Sin Dato,https://maps.app.goo.gl/TprDSZJFmgNhd2Dr9
REF-COY-08,Iglesia Carrera Larga / Virgen del Rosario,"Col. Centro, Loc. Carrera Larga",400,100,Coyuca de BÃ©nitez,Sin Dato,https://maps.app.goo.gl/etpt7uH7r3PJzD5y9
REF-COY-09,Iglesia San Isidro Labrador,"Calle Principal, Yetla",100,25,Coyuca de BÃ©nitez,Sin Dato,https://maps.app.goo.gl/w21XvrCRdf6Nanch6
REF-COY-10,Iglesia Virgen de Guadalupe / Cancha de la localidad,"Calle Principal, Embarcadero",100,25,Coyuca de BÃ©nitez,Sin Dato,https://maps.app.goo.gl/9LU6R2ZNdi8GpZmLA
REF-COY-12,Parroquia de Nuestra SeÃ±ora de la Candelaria,Loc. Espinalillo,100,25,Coyuca de BÃ©nitez,Sin Dato,https://maps.app.goo.gl/KLV2TmwZhN6rrxVm9
REF-COY-13,Telesecundaria TenochtitlÃ¡n,Loc. Playa Del Carrizal,100,25,Coyuca de BÃ©nitez,Sin Dato,https://maps.app.goo.gl/Kgh2m56phgV69gdT7
REF-COY-14,Telesecundaria Ricardo Flores MagÃ³n,Loc. Ejido Viejo,150,37,Coyuca de BÃ©nitez,Sin Dato,https://maps.app.goo.gl/gDHVr3JRPRLaAiB98
